iter	Logloss
135	0.3399673134
136	0.3395229351
137	0.3390525571
138	0.3388944358
139	0.3385264096
140	0.3381972714
141	0.3377614817
142	0.3375839238
143	0.3372088929
144	0.3369068299
145	0.336690901
146	0.3363932933
147	0.3361349852
148	0.3359592739
149	0.3357139323
150	0.3355031385
151	0.33535642
152	0.3350110557
153	0.3348010205
154	0.3342617809
155	0.3339647582
156	0.3337200586
157	0.3334119897
158	0.3330455578
159	0.3328530714
160	0.3326606805
161	0.3321546949
162	0.3320119245
163	0.3317544231
164	0.3315920079
165	0.3313109705
166	0.3309733868
167	0.3308134315
168	0.3304837747
169	0.3302524659
170	0.3300338882
171	0.329760856
172	0.3296330461
173	0.3292810672
174	0.3289962519
175	0.3286859848
176	0.3285620087
177	0.3283771842
178	0.3281479207
179	0.3279781075
180	0.3277861478
181	0.3276852153
182	0.327218449
183	0.3269407387
184	0.3266417421
185	0.326351849
186	0.3261752114
187	0.3258368577
188	0.3257153414
189	0.3253531602
190	0.3252207441
191	0.3248691829
192	0.3246651888
193	0.3244634527
194	0.324355776
195	0.324063373
196	0.3238358451
197	0.3236696133
198	0.3234951977
199	0.3233125006
200	0.3229435032
201	0.32280681
202	0.3226066346
203	0.322359567
204	0.3222282212
205	0.3217902148
206	0.3215128843
207	0.3211629337
208	0.3205972917
209	0.3202861622
210	0.3200334346
211	0.3197812149
212	0.3195774564
213	0.3191766951
214	0.318897566
215	0.3185588329
216	0.3182762683
217	0.3179976544
218	0.3178033964
219	0.3176634093
220	0.3173642358
221	0.3171073881
222	0.3166547991
223	0.3163427593
224	0.3162084042
225	0.3158304736
226	0.3155557993
227	0.3153041272
228	0.315157913
229	0.3147678018
230	0.314449343
231	0.3141621768
232	0.3139590353
233	0.3137854513
234	0.3133905035
235	0.3131591504
236	0.3128766847
237	0.3123356818
238	0.3120240001
239	0.3117305084
240	0.3112210366
241	0.3108185799
242	0.3105479535
243	0.3103533787
244	0.3100032855
245	0.3096480793
246	0.3093702621
247	0.3091249875
248	0.3087913762
249	0.3085484615
250	0.308219052
251	0.3079646636
252	0.3076964588
253	0.3072685958
254	0.3069625317
255	0.3067289656
256	0.3064421945
257	0.3061858037
258	0.3059040085
259	0.3057046916
260	0.3052501134
261	0.3050718165
262	0.3048244329
263	0.3046755593
264	0.3044074997
265	0.3041882537
266	0.3040875045
267	0.3038475539
268	0.3036430074
269	0.3034010335
270	0.3032643976
271	0.3030254343
272	0.3028098133
273	0.3026238087
274	0.3023676862
275	0.3022156577
276	0.3020455566
277	0.301721787
278	0.3015749887
279	0.3013106069
280	0.301097394
281	0.3009156737
282	0.30060633
283	0.3002681713
284	0.2999623039
285	0.2998409213
286	0.2995617138
287	0.2993640831
288	0.2990539158
289	0.298741909
290	0.2985107657
291	0.2983077669
292	0.2979537424
293	0.2977443293
294	0.2973727426
295	0.2970776638
296	0.2967858356
297	0.2965971435
298	0.2963113724
299	0.2960817561
300	0.2958659255
301	0.2956954415
302	0.2954921108
303	0.2952311416
304	0.2949389001
305	0.2948258362
306	0.294568701
307	0.2944152486
308	0.2942416471
309	0.2939905013
310	0.2937264855
311	0.2933830772
312	0.2930738133
313	0.2928441213
314	0.2926915042
315	0.2922290604
316	0.2919840177
317	0.2918817997
318	0.2915252813
319	0.291389834
320	0.2912645305
321	0.2910689124
322	0.2909223152
323	0.2908272398
324	0.2906021352
325	0.2903970178
326	0.2901656404
327	0.2897446361
328	0.2895027161
329	0.2892948012
330	0.2890695378
331	0.2888320686
332	0.2885768691
333	0.2882846394
334	0.2880654546
335	0.2878957894
336	0.2877569784
337	0.2875828319
338	0.2874209882
339	0.2873090667
340	0.2871814086
341	0.2870072858
342	0.2866922996
343	0.2865392236
344	0.2863190067
345	0.2861089941
346	0.2858862904
347	0.2856978154
348	0.2855854957
349	0.2854691281
350	0.2853071193
351	0.2851955133
352	0.2850236769
353	0.2846776985
354	0.2845397581
355	0.2843890853
356	0.284095787
357	0.2839724581
358	0.2838206532
359	0.2836786407
360	0.283130617
361	0.2829570228
362	0.282765315
363	0.2826240714
364	0.2823640648
365	0.2820193338
366	0.2818435998
367	0.2816968932
368	0.2815033733
369	0.2813914859
370	0.2812120638
371	0.281027295
372	0.280855346
373	0.2806599634
374	0.2805197166
375	0.2801906392
376	0.2800897438
377	0.279893581
378	0.279735592
379	0.2795450433
380	0.2793542603
381	0.2791984491
382	0.2789302689
383	0.2787872832
384	0.2786418677
385	0.2783382805
386	0.2780836695
387	0.2778950809
388	0.2777705813
389	0.2776028242
390	0.2774380759
391	0.2771675273
392	0.2770620296
393	0.2768938545
394	0.2766548142
395	0.276529297
396	0.2762985424
397	0.2761487634
398	0.276039122
399	0.2758017042
400	0.2755133548
401	0.2752584877
402	0.2748808548
403	0.2747064951
404	0.2745024105
405	0.2742999948
406	0.2741906421
407	0.2739664313
408	0.2736980021
409	0.2735694453
410	0.2733141783
411	0.2731598634
412	0.2729070507
413	0.2727210744
414	0.2726184756
415	0.2725145465
416	0.2722578264
417	0.2720157904
418	0.2719037115
419	0.2717134432
420	0.2715621673
421	0.2714040267
422	0.2712184679
423	0.2710586002
424	0.2709747519
425	0.2708560199
426	0.2707415857
427	0.2705475515
428	0.2704307823
429	0.2701505426
430	0.2699634
431	0.2697859745
432	0.2695103199
433	0.2692801335
434	0.2690859479
435	0.2687802299
436	0.2685809987
437	0.2684389084
438	0.2683185759
439	0.2681846251
440	0.2680109694
441	0.2677002577
442	0.2674770912
443	0.2672070686
444	0.2670383573
445	0.2667998572
446	0.266559686
447	0.2664601152
448	0.2663205236
449	0.26610899
450	0.2659164756
451	0.2657616471
452	0.2654384299
453	0.2652794373
454	0.2650813463
455	0.2649012527
456	0.2647870017
457	0.2646167557
458	0.2644568161
459	0.2643016885
460	0.2641599056
461	0.2640222232
462	0.2637987267
463	0.2635030052
464	0.2632757636
465	0.2631189053
466	0.2629505719
467	0.2627514715
468	0.2625212563
469	0.2623913326
470	0.2622534809
471	0.2621336768
472	0.2619980558
473	0.2618654265
474	0.2616714427
475	0.2615603593
476	0.2614489551
477	0.2612107495
478	0.2610455902
479	0.2609701764
480	0.2607315564
481	0.2605699857
482	0.2604300973
483	0.2601349041
484	0.2596738638
485	0.2594003973
486	0.2592586167
487	0.2590088381
488	0.2588444983
489	0.2585139561
490	0.2582205568
491	0.2580070464
492	0.2578153291
493	0.2576023349
494	0.2574029017
495	0.2571361555
496	0.2569694495
497	0.2568183729
498	0.256678164
499	0.2564820445
500	0.2562478143
501	0.2559219279
502	0.2557891077
503	0.2554951065
504	0.255207657
505	0.2550049074
506	0.2548406543
507	0.2546837528
508	0.254479064
509	0.2540849027
510	0.2539496324
511	0.2538489368
512	0.253749585
513	0.2536485893
514	0.2534930169
515	0.2531512917
516	0.2530773298
517	0.2529522033
518	0.2527379476
519	0.2526553448
520	0.2523310572
521	0.252234938
522	0.2520269536
523	0.2518399025
524	0.2516092441
525	0.2513572728
526	0.2510421672
527	0.2508288547
528	0.2506415862
529	0.2503893817
530	0.2502713298
531	0.2499937709
532	0.2497579087
533	0.2495700437
534	0.2494018089
535	0.2493049044
536	0.2491304475
537	0.2489637578
538	0.2487993279
539	0.2486619741
540	0.2485751646
541	0.2484302736
542	0.2482791911
543	0.2480929709
544	0.2479469471
545	0.2477235622
546	0.247547919
547	0.247437718
548	0.2472729227
549	0.2471524171
550	0.2470507597
551	0.2467434078
552	0.2465590485
553	0.2463978413
554	0.2462295111
555	0.245942155
556	0.2458142782
557	0.2456460398
558	0.2454880468
559	0.2452487475
560	0.2451734776
561	0.2450456589
562	0.2447822699
563	0.2446388598
564	0.2445700511
565	0.2444040469
566	0.2442864315
567	0.2441338716
568	0.2439259236
569	0.2437726966
570	0.2436443858
571	0.2434192533
572	0.2431184693
573	0.2430270233
574	0.242913696
575	0.2427876255
576	0.2425266532
577	0.242361424
578	0.2422007441
579	0.2420576012
580	0.2418390639
581	0.2417198816
582	0.2415988773
583	0.2414681665
584	0.241234957
585	0.2410549275
586	0.2409156253
587	0.240761869
588	0.24050874
589	0.2403895929
590	0.2401830742
591	0.2400014157
592	0.239819589
593	0.2396208972
594	0.2395615471
595	0.2394784255
596	0.2394008936
597	0.2392804318
598	0.2391223493
599	0.2389575642
600	0.2387724364
601	0.2386634478
602	0.2385965497
603	0.238353005
604	0.2382394758
605	0.2381095443
606	0.2380165657
607	0.2378288495
608	0.237537247
609	0.2374244943
610	0.2372798928
611	0.2370901747
612	0.2369180538
613	0.2367626682
614	0.2365449552
615	0.2363889947
616	0.2362970574
617	0.2361422058
618	0.2359229112
619	0.2358463446
620	0.2357448564
621	0.2356450794
622	0.2354551684
623	0.23535459
624	0.2352398226
625	0.2351014153
626	0.2348774507
627	0.2346809334
628	0.2345648587
629	0.2344343618
630	0.2341385714
631	0.2339884266
632	0.2339165538
633	0.2338166037
634	0.2336981934
635	0.2335707191
636	0.2333705871
637	0.2332401041
638	0.2330093764
639	0.2328447042
640	0.2325817284
641	0.2324538952
642	0.2322704218
643	0.2321179434
644	0.2319039903
645	0.2317921437
646	0.2316596335
647	0.2314976752
648	0.2313733131
649	0.2312572687
650	0.2311145699
651	0.2310069506
652	0.2308763182
653	0.2307150582
654	0.2305216331
655	0.2304136807
656	0.2303038498
657	0.2301732824
658	0.2299775895
659	0.2298013904
660	0.2296354929
661	0.2295275777
662	0.2293835437
663	0.2292744446
664	0.2291940332
665	0.2291023384
666	0.2289870704
667	0.2288837001
668	0.2287837136
669	0.2286979909
670	0.2285557127
671	0.2284238376
672	0.2282063259
673	0.2281186079
674	0.2280416797
675	0.2279168009
676	0.2278147596
677	0.2276534832
678	0.2275322694
679	0.2274078363
680	0.2273523279
681	0.2271482067
682	0.2269993293
683	0.2267167689
684	0.2265492248
685	0.2264639428
686	0.2263826168
687	0.2262292237
688	0.2260446544
689	0.225943489
690	0.2258848911
691	0.2257801842
692	0.2255620934
693	0.2253848677
694	0.2252540779
695	0.2251288081
696	0.2249569768
697	0.2248384364
698	0.2247534719
699	0.2245283786
700	0.2243798671
701	0.2242583059
702	0.2241055469
703	0.2240413053
704	0.2239464196
705	0.2237927999
706	0.2235630951
707	0.2234817778
708	0.2233402358
709	0.2232281048
710	0.2231299659
711	0.2228358986
712	0.2226922845
713	0.2224374481
714	0.2221857137
715	0.2219822318
716	0.2218658231
717	0.2217492431
718	0.2215861927
719	0.2215011294
720	0.2213987384
721	0.2212759067
722	0.2211348901
723	0.2210233414
724	0.2209037702
725	0.2206517475
726	0.2205838341
727	0.2204628343
728	0.2202818482
729	0.2201938314
730	0.2200108053
731	0.2198625423
732	0.2197610121
733	0.2196707286
734	0.2196060714
735	0.2195108444
736	0.2193855372
737	0.2192907331
738	0.219163592
739	0.2190356412
740	0.2189404493
741	0.2188008663
742	0.2186497449
743	0.2184810873
744	0.2184243085
745	0.2182834207
746	0.2182240161
747	0.218160527
748	0.2180317795
749	0.2179023547
750	0.2177839513
751	0.2176935041
752	0.2175818513
753	0.217445193
754	0.2173133504
755	0.2171904398
756	0.2170430628
757	0.2169151177
758	0.2167140808
759	0.2165739582
760	0.216494548
761	0.2164188628
762	0.2163301402
763	0.2161284412
764	0.2160225352
765	0.2159264355
766	0.2157979143
767	0.2156227729
768	0.2154445253
769	0.2153565005
770	0.2152554911
771	0.2151373142
772	0.21501785
773	0.2149388791
774	0.2148600214
775	0.2147359641
776	0.2146416173
777	0.2145104901
778	0.214398057
779	0.2142585363
780	0.2140487335
781	0.2139166101
782	0.2138037863
783	0.2136543475
784	0.2134328324
785	0.2132797546
786	0.213190624
787	0.213028275
788	0.2128971736
789	0.2127678555
790	0.212697518
791	0.2124907017
792	0.2124201772
793	0.2122969136
794	0.2122269556
795	0.2121671106
796	0.2119179393
797	0.2118364632
798	0.2117155719
799	0.2116091316
800	0.2114557051
801	0.2112926831
802	0.2111131539
803	0.2110658745
804	0.2110037066
805	0.2108817727
806	0.2106974605
807	0.2105714555
808	0.2104089903
809	0.2102994198
810	0.2101747747
811	0.2100556392
812	0.2099306929
813	0.2096605701
814	0.2095829215
815	0.2094673513
816	0.2093461363
817	0.2092343122
818	0.2091569249
819	0.2090809365
820	0.2089639045
821	0.2087956506
822	0.2086891748
823	0.2085862402
824	0.2085141682
825	0.208476642
826	0.2082740578
827	0.2081947692
828	0.208084505
829	0.2079462709
830	0.2078779273
831	0.2077963342
832	0.2076238806
833	0.2074511549
834	0.2072984418
835	0.2072041582
836	0.2069811302
837	0.2068914703
838	0.2066663119
839	0.2065790218
840	0.2064128619
841	0.2062022801
842	0.2061301372
843	0.20597619
844	0.2058159951
845	0.2057015953
846	0.2056061586
847	0.2055150628
848	0.2054431926
849	0.2053120523
850	0.2052311803
851	0.2051413482
852	0.2050842089
853	0.2049779101
854	0.2049220468
855	0.2047900038
856	0.204667505
857	0.2045666225
858	0.2044637228
859	0.2043746605
860	0.2042954268
861	0.2041695973
862	0.2040797225
863	0.2038291013
864	0.2036601085
865	0.2035466097
866	0.2034187792
867	0.2033366186
868	0.2032174513
869	0.2031095048
870	0.2029918355
871	0.202877465
872	0.2028268287
873	0.2026076897
874	0.2025148159
875	0.2023766949
876	0.2022118276
877	0.2021577634
878	0.2020506343
879	0.2019203885
880	0.2017588932
881	0.2015943183
882	0.2014126242
883	0.201262623
884	0.2011516939
885	0.201042644
886	0.2008875256
887	0.2007866524
888	0.2006582753
889	0.2004905668
890	0.2004134504
891	0.2003281138
892	0.2002271243
893	0.2001751167
894	0.2000773796
895	0.199941573
896	0.1997801972
897	0.1996230207
898	0.1994521899
899	0.19937525
900	0.1991950872
901	0.1990325649
902	0.1989064456
903	0.1988108884
904	0.1986888169
905	0.1984586597
906	0.1983773533
907	0.1983021455
908	0.1982372367
909	0.1981053407
910	0.1980153943
911	0.1979145451
912	0.1977656203
913	0.1975780627
914	0.1975134548
915	0.1974212079
916	0.1973543223
917	0.1972339867
918	0.1970784069
919	0.196956982
920	0.196875295
921	0.1967635974
922	0.1966702951
923	0.1965270988
924	0.1963718448
925	0.1962965374
926	0.1961710146
927	0.1961296851
928	0.1960627087
929	0.1959338027
930	0.1958578648
931	0.1957822595
932	0.1956956859
933	0.1956207731
934	0.1954525158
935	0.195361294
936	0.1952669345
937	0.1951844517
938	0.1951332795
939	0.1950268524
940	0.1949268842
941	0.1948405865
942	0.1947565797
943	0.1946273068
944	0.1944805627
945	0.1943699068
946	0.1942279198
947	0.1941725548
948	0.1940795509
949	0.1939880212
950	0.1937907531
951	0.1937326418
952	0.1936530044
953	0.1935299765
954	0.1934162851
955	0.1933093874
956	0.1931778514
957	0.1930705254
958	0.1929487588
959	0.1928955034
960	0.192803281
961	0.1927179506
962	0.1926691744
963	0.1926459125
964	0.1925871608
965	0.1924959795
966	0.1923287649
967	0.1921343583
968	0.1920074901
969	0.1919576341
970	0.1918348028
971	0.1916683955
972	0.1915062744
973	0.1913726263
974	0.1912985894
975	0.1911600187
976	0.1910733605
977	0.19089921
978	0.1907304471
979	0.1906187086
980	0.1905010569
981	0.1903772778
982	0.1902370432
983	0.1899650136
984	0.189879329
985	0.1898227729
986	0.1897536305
987	0.1896096931
988	0.189495028
989	0.189369828
990	0.1892262726
991	0.1891758539
992	0.1890120057
993	0.1889365465
994	0.1888128196
995	0.1886354069
996	0.1884829503
997	0.1884207885
998	0.1883444823
999	0.1882162032
