iter	Passed	Remaining
406	4529	6599
407	4537	6583
408	4547	6570
409	4555	6555
410	4565	6542
411	4573	6527
412	4582	6513
413	4590	6498
414	4601	6485
415	4611	6473
416	4622	6463
417	4633	6452
418	4644	6440
419	4654	6427
420	4665	6416
421	4674	6402
422	4684	6389
423	4695	6378
424	4705	6365
425	4715	6354
426	4725	6341
427	4734	6327
428	4744	6315
429	4754	6302
430	4764	6289
431	4776	6280
432	4786	6267
433	4796	6254
434	4804	6240
435	4815	6229
436	4826	6218
437	4835	6204
438	4844	6191
439	4853	6177
440	4863	6164
441	4874	6153
442	4883	6139
443	4893	6128
444	4901	6113
445	4912	6102
446	4922	6089
447	4933	6078
448	4942	6065
449	4951	6052
450	4960	6038
451	4968	6024
452	4978	6011
453	4988	5999
454	4996	5985
455	5007	5973
456	5015	5959
457	5024	5946
458	5033	5932
459	5042	5919
460	5051	5906
461	5061	5893
462	5071	5881
463	5080	5868
464	5091	5857
465	5100	5844
466	5109	5831
467	5117	5817
468	5127	5804
469	5137	5792
470	5145	5779
471	5155	5766
472	5163	5753
473	5172	5740
474	5181	5726
475	5190	5713
476	5198	5699
477	5207	5687
478	5216	5674
479	5225	5660
480	5235	5649
481	5245	5637
482	5257	5627
483	5266	5615
484	5275	5601
485	5285	5590
486	5294	5576
487	5303	5564
488	5312	5551
489	5322	5539
490	5332	5528
491	5341	5515
492	5351	5503
493	5360	5490
494	5369	5478
495	5378	5465
496	5387	5452
497	5399	5442
498	5408	5430
499	5418	5418
500	5426	5405
501	5436	5393
502	5447	5382
503	5455	5369
504	5465	5357
505	5474	5344
506	5483	5332
507	5492	5319
508	5501	5307
509	5511	5295
510	5521	5283
511	5532	5273
512	5542	5261
513	5553	5250
514	5564	5240
515	5574	5228
516	5584	5216
517	5595	5206
518	5604	5194
519	5614	5182
520	5624	5170
521	5634	5159
522	5645	5148
523	5655	5137
524	5664	5125
525	5674	5113
526	5684	5102
527	5695	5091
528	5706	5080
529	5717	5069
530	5726	5058
531	5736	5045
532	5746	5035
533	5756	5023
534	5766	5011
535	5777	5001
536	5787	4990
537	5797	4978
538	5808	4968
539	5818	4956
540	5829	4945
541	5839	4934
542	5849	4922
543	5861	4913
544	5874	4904
545	5884	4892
546	5895	4882
547	5906	4871
548	5915	4859
549	5925	4848
550	5935	4836
551	5945	4825
552	5955	4814
553	5964	4801
554	5974	4790
555	5983	4778
556	5993	4766
557	6003	4755
558	6013	4744
559	6024	4733
560	6035	4722
561	6044	4711
562	6056	4700
563	6064	4688
564	6074	4676
565	6082	4664
566	6092	4652
567	6102	4641
568	6111	4629
569	6121	4617
570	6129	4605
571	6139	4594
572	6148	4581
573	6157	4570
574	6168	4559
575	6177	4547
576	6188	4536
577	6196	4524
578	6206	4512
579	6215	4500
580	6224	4488
